Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
No,39,Travel_Frequently,Research & Development,8,1,Life Sciences,602,3,Female,3,Laboratory Technician,3,Married,3755,1,No,11,1,1,8,3,3,8,3,7
No,30,Travel_Rarely,Research & Development,24,1,Life Sciences,11,4,Male,3,Laboratory Technician,3,Divorced,2693,1,No,22,2,1,1,2,3,1,0,0
No,48,Travel_Rarely,Sales,2,1,Marketing,712,2,Male,4,Sales Executive,2,Married,8120,3,No,12,4,0,12,3,3,2,2,2
No,38,Travel_Rarely,Research & Development,10,3,Medical,2015,2,Female,1,Research Director,3,Married,13206,3,No,12,1,1,20,3,3,18,16,11
No,38,Travel_Rarely,Sales,2,2,Life Sciences,1355,2,Female,3,Sales Executive,1,Divorced,6893,3,No,15,4,1,11,3,3,7,7,7
Yes,28,Travel_Rarely,Research & Development,2,4,Life Sciences,364,1,Male,3,Laboratory Technician,3,Single,3485,2,No,11,3,0,5,5,1,0,0,0
No,25,Travel_Rarely,Sales,4,2,Life Sciences,527,2,Female,2,Sales Executive,4,Single,4487,1,Yes,11,2,0,5,3,3,5,4,3
No,37,Travel_Frequently,Sales,1,4,Medical,1700,3,Male,1,Sales Executive,4,Divorced,9525,1,No,14,3,2,6,2,2,6,3,3
No,53,Travel_Frequently,Sales,2,3,Marketing,1050,3,Female,2,Sales Executive,2,Married,7525,2,No,12,1,1,30,2,3,15,7,12
No,38,Travel_Rarely,Research & Development,1,3,Life Sciences,743,3,Female,3,Manufacturing Director,3,Single,7861,4,Yes,14,4,0,10,4,4,1,0,0
No,31,Travel_Rarely,Research & Development,9,1,Life Sciences,581,3,Male,3,Manufacturing Director,2,Divorced,10648,1,No,25,4,1,13,6,4,13,8,8
No,28,Travel_Frequently,Research & Development,2,3,Life Sciences,1296,4,Male,2,Laboratory Technician,4,Married,3867,1,Yes,12,2,1,2,2,3,2,2,2
No,30,Travel_Rarely,Research & Development,2,3,Medical,833,3,Female,2,Manufacturing Director,4,Single,6877,5,Yes,24,2,0,12,4,2,0,0,0
No,35,Travel_Rarely,Research & Development,9,4,Life Sciences,496,3,Male,2,Healthcare Representative,2,Single,6540,,No,19,3,0,10,5,3,1,1,0
No,43,Non-Travel,Research & Development,9,3,Life Sciences,1813,1,Male,3,Research Scientist,3,Single,2438,4,No,13,3,0,7,2,2,3,2,2
No,48,Travel_Rarely,Research & Development,1,4,Life Sciences,664,4,Female,2,Manager,1,Married,15402,7,No,11,1,1,21,3,1,3,2,2
No,41,Travel_Frequently,Research & Development,10,3,Life Sciences,199,4,Male,2,Manager,1,Divorced,17181,4,No,13,2,1,21,2,2,7,6,7
Yes,26,Travel_Frequently,Research & Development,3,1,Technical Degree,510,3,Male,3,Research Scientist,1,Single,3102,0,No,22,3,0,7,2,3,6,4,4
No,28,Travel_Frequently,Sales,7,3,Life Sciences,1507,3,Male,3,Sales Executive,1,Single,4898,0,No,14,4,0,5,5,3,4,2,3
No,36,Non-Travel,Research & Development,24,4,Life Sciences,419,2,Female,3,Laboratory Technician,2,Married,5674,7,No,15,3,1,11,3,3,9,8,8
No,27,Non-Travel,Research & Development,8,5,Life Sciences,1094,1,Male,1,Laboratory Technician,3,Married,4621,1,No,19,4,3,3,4,3,3,2,2
No,43,Travel_Frequently,Sales,26,2,Life Sciences,158,3,Male,3,Manager,4,Married,16959,1,Yes,12,4,2,25,3,4,25,12,12
No,41,Travel_Rarely,Research & Development,9,4,Life Sciences,1772,3,Male,3,Laboratory Technician,1,Divorced,2289,1,No,20,2,2,5,2,3,5,3,4
No,24,Travel_Rarely,Sales,10,4,Marketing,507,4,Female,3,Sales Executive,3,Divorced,4260,1,Yes,12,4,1,5,2,4,5,2,3
No,35,Travel_Rarely,Research & Development,8,1,Life Sciences,63,4,Male,4,Laboratory Technician,4,Married,2269,1,No,19,4,0,1,2,3,1,0,1
No,54,Travel_Rarely,Sales,3,3,Marketing,303,4,Female,3,Sales Executive,1,Married,5940,2,No,14,4,1,16,4,3,6,2,5
Yes,21,Travel_Rarely,Sales,,3,Life Sciences,494,3,Female,4,Sales Representative,2,Single,2716,1,No,15,4,0,1,0,3,1,0,0
No,31,Travel_Rarely,Sales,2,2,Life Sciences,1996,1,Male,3,Sales Representative,3,Married,3067,0,No,19,3,1,3,1,3,2,2,2
No,40,Travel_Rarely,Research & Development,2,3,Life Sciences,1346,3,Male,3,Research Scientist,4,Single,4661,1,No,13,3,0,9,4,3,9,8,8
Yes,19,Travel_Rarely,Sales,22,1,Marketing,167,4,Male,3,Sales Representative,3,Single,1675,1,Yes,19,4,0,0,2,2,0,0,0
No,47,Travel_Rarely,Research & Development,2,2,Medical,574,1,Female,3,Manufacturing Director,4,Divorced,5070,5,No,13,3,3,20,2,3,5,0,4
No,33,Travel_Rarely,Sales,1,3,Medical,855,1,Male,4,Sales Executive,1,Divorced,4037,1,No,22,1,1,9,5,3,9,8,8
No,36,Travel_Frequently,Research & Development,3,3,Technical Degree,1257,3,Male,3,Research Scientist,2,Married,3692,1,No,12,3,0,12,2,2,11,10,7
No,27,Travel_Rarely,Sales,2,2,Medical,1898,1,Female,4,Sales Executive,3,Single,6500,0,No,14,2,0,9,5,2,8,7,7
No,26,Travel_Rarely,Research & Development,3,3,Life Sciences,1581,1,Female,3,Research Scientist,4,Married,2061,1,No,21,1,0,1,5,3,1,0,0
No,29,Travel_Frequently,Sales,20,3,Technical Degree,974,3,Female,3,Sales Representative,4,Married,2157,1,No,15,2,1,3,5,3,3,1,2
No,32,Travel_Frequently,Research & Development,24,4,Life Sciences,772,1,Male,3,Laboratory Technician,4,Married,5309,1,No,15,4,2,10,2,3,10,8,7
No,52,Travel_Rarely,Research & Development,3,3,Medical,543,4,Male,2,Manufacturing Director,3,Married,7969,2,Yes,14,3,0,28,4,3,5,4,4
Yes,29,Travel_Frequently,Research & Development,14,1,Other,1421,3,Female,3,Healthcare Representative,4,Single,7553,0,Yes,12,1,0,9,1,3,8,7,7
Yes,35,Travel_Rarely,Research & Development,14,4,Other,1010,3,Male,2,Laboratory Technician,2,Divorced,3743,1,Yes,24,4,1,5,2,1,4,2,2
No,27,Travel_Frequently,Research & Development,5,2,Life Sciences,1850,4,Female,3,Laboratory Technician,4,Single,2379,,Yes,14,3,0,6,3,2,5,4,2
No,55,Travel_Rarely,Research & Development,1,3,Medical,374,4,Male,3,Manager,1,Single,19045,0,Yes,14,3,0,37,2,3,36,10,13
No,48,Travel_Frequently,Research & Development,22,3,Medical,1900,4,Female,3,Manager,4,Divorced,17174,3,No,11,2,1,24,3,3,22,17,7
No,40,Travel_Frequently,Research & Development,26,2,Medical,1180,3,Female,2,Research Scientist,4,Married,4422,3,Yes,13,4,1,16,3,1,1,1,0
No,37,Travel_Frequently,Research & Development,11,3,Other,306,2,Male,3,Research Director,4,Divorced,12185,1,Yes,14,3,3,10,1,3,10,8,7
Yes,25,Travel_Frequently,Sales,24,1,Life Sciences,1273,3,Male,1,Sales Representative,4,Single,1118,1,Yes,14,4,0,1,4,3,1,0,0
No,37,Travel_Rarely,Research & Development,6,3,Medical,474,3,Male,4,Research Scientist,1,Divorced,5974,4,Yes,13,1,2,13,2,3,7,7,7
No,32,Travel_Rarely,Research & Development,3,2,Life Sciences,727,3,Female,3,Research Director,4,Single,11159,3,No,15,4,0,10,6,3,7,7,7
No,33,Travel_Frequently,Research & Development,6,3,Life Sciences,692,3,Male,3,Healthcare Representative,4,Divorced,7725,3,No,23,3,1,15,2,1,13,11,7
No,31,Travel_Frequently,Research & Development,24,1,Technical Degree,1736,4,Female,3,Manufacturing Director,4,Single,5238,2,No,20,4,0,9,3,2,5,4,4
No,29,Travel_Frequently,Research & Development,2,1,Life Sciences,1513,4,Female,3,Laboratory Technician,2,Married,3180,0,No,13,3,3,4,3,3,3,2,2
No,34,Non-Travel,Research & Development,3,4,Life Sciences,1115,3,Male,2,Research Scientist,4,Married,2979,3,No,17,4,3,6,2,3,0,0,0
No,32,Travel_Rarely,Research & Development,5,2,Life Sciences,21,1,Male,4,Research Scientist,2,Divorced,3298,0,Yes,12,4,2,7,5,2,6,2,5
No,35,Travel_Rarely,Research & Development,1,4,Medical,1172,4,Male,2,Laboratory Technician,3,Married,2258,6,No,12,2,1,10,2,3,8,0,7
No,52,Travel_Rarely,Research & Development,4,2,Life Sciences,546,4,Female,3,Manager,4,Married,16555,2,No,13,4,0,31,2,1,5,2,4
No,41,Travel_Rarely,Sales,23,2,Life Sciences,1678,4,Male,3,Sales Executive,3,Single,7082,3,Yes,16,4,0,21,2,3,2,0,2
No,21,Travel_Rarely,Sales,,1,Technical Degree,669,3,Male,3,Sales Representative,3,Single,3447,1,No,11,3,0,3,2,3,3,2,2
No,32,Non-Travel,Sales,2,1,Life Sciences,1190,3,Female,3,Sales Representative,1,Divorced,2827,1,No,12,3,3,1,3,3,1,0,0
No,47,Travel_Rarely,Sales,14,4,Marketing,728,4,Male,3,Sales Executive,1,Single,4960,2,No,12,4,0,20,2,3,7,7,7
No,43,Travel_Frequently,Sales,15,3,Life Sciences,754,4,Male,2,Sales Executive,4,Married,6804,3,No,18,3,1,7,5,3,2,2,2
No,36,Non-Travel,Sales,1,5,Medical,479,4,Female,3,Sales Executive,4,Single,6653,4,No,15,2,0,7,6,3,1,0,0
Yes,29,Travel_Rarely,Research & Development,25,5,Technical Degree,565,3,Female,2,Research Scientist,2,Married,2546,5,No,16,2,0,6,2,4,2,2,1
No,26,Travel_Rarely,Research & Development,1,2,Medical,1083,1,Male,2,Laboratory Technician,1,Married,3955,1,No,16,1,2,6,2,3,5,3,3
Yes,29,Travel_Rarely,Sales,9,3,Marketing,1752,2,Female,1,Sales Representative,2,Single,2760,1,No,13,3,0,2,3,3,2,2,2
No,33,Travel_Rarely,Human Resources,3,2,Human Resources,910,4,Male,3,Human Resources,2,Divorced,2277,3,Yes,11,3,1,7,4,4,4,3,3
No,45,Travel_Frequently,Research & Development,7,4,Life Sciences,341,1,Male,4,Manufacturing Director,3,Married,6434,4,No,17,4,1,9,1,3,3,2,2
No,37,Travel_Rarely,Research & Development,25,2,Medical,1161,3,Female,2,Healthcare Representative,4,Divorced,5731,7,No,13,3,2,9,2,3,6,2,3
Yes,29,Travel_Rarely,Research & Development,1,3,Technical Degree,300,3,Male,3,Research Scientist,3,Single,2058,0,No,14,4,0,7,1,2,6,2,5
No,37,Travel_Rarely,Research & Development,10,2,Life Sciences,715,4,Male,4,Research Scientist,4,Single,4680,3,No,17,1,0,4,2,3,1,0,0
No,34,Travel_Rarely,Research & Development,5,2,Medical,1696,2,Male,2,Laboratory Technician,4,Married,3986,1,No,14,3,1,15,3,4,15,10,13
No,32,Travel_Rarely,Sales,1,4,Marketing,2016,3,Female,3,Sales Executive,4,Married,10422,,No,19,3,2,14,3,3,14,10,7
No,44,Travel_Rarely,Research & Development,29,4,Other,1225,4,Male,3,Research Scientist,4,Single,4541,1,No,25,2,0,20,3,3,20,11,17
No,25,Travel_Rarely,Research & Development,7,1,Medical,143,4,Male,2,Research Scientist,4,Married,2889,1,No,11,3,2,2,2,3,2,2,1
No,38,Travel_Rarely,Research & Development,2,5,Medical,773,4,Male,3,Research Scientist,3,Married,3057,6,Yes,13,2,1,6,0,1,1,0,1
No,34,Travel_Rarely,Research & Development,3,3,Life Sciences,1658,4,Female,3,Research Scientist,2,Divorced,5433,1,No,12,3,1,11,2,3,11,8,9
No,34,Non-Travel,Research & Development,26,1,Technical Degree,1374,1,Female,2,Research Scientist,3,Divorced,2029,1,No,20,3,3,5,2,3,5,4,0
No,33,Travel_Frequently,Research & Development,5,4,Life Sciences,428,4,Female,3,Manager,2,Married,11878,6,No,11,2,2,12,2,3,10,6,8
Yes,43,Travel_Rarely,Sales,9,3,Marketing,1188,1,Female,1,Sales Executive,3,Single,5346,8,No,13,2,0,7,2,2,4,3,3
No,60,Travel_Rarely,Research & Development,7,3,Life Sciences,549,1,Female,3,Manager,1,Married,19566,5,No,11,4,0,33,5,1,29,8,10
No,49,Travel_Rarely,Research & Development,20,4,Medical,170,3,Female,3,Manufacturing Director,1,Married,6567,1,No,14,3,0,16,2,2,15,11,11
No,40,Travel_Frequently,Research & Development,9,4,Medical,1166,2,Female,3,Research Director,3,Single,13499,9,No,17,3,0,20,3,2,18,7,13
No,40,Travel_Rarely,Research & Development,2,3,Medical,1474,3,Male,3,Research Scientist,3,Divorced,2345,2,No,14,3,1,8,3,4,3,1,2
Yes,30,Travel_Rarely,Research & Development,22,3,Life Sciences,1004,1,Female,3,Research Scientist,3,Married,2132,4,Yes,11,2,0,7,2,3,5,2,1
No,47,Travel_Rarely,Research & Development,,5,Life Sciences,447,4,Male,3,Research Director,3,Married,18300,4,No,11,2,1,21,2,3,3,2,1
No,42,Travel_Frequently,Research & Development,28,4,Technical Degree,551,4,Female,2,Healthcare Representative,4,Married,4523,0,No,11,4,3,7,4,4,6,5,4
No,26,Travel_Frequently,Research & Development,6,3,Other,1918,3,Male,4,Laboratory Technician,4,Married,2544,0,No,18,1,1,8,3,3,7,7,7
No,39,Travel_Rarely,Research & Development,1,1,Life Sciences,1026,4,Female,2,Manufacturing Director,4,Married,12742,1,No,16,3,1,21,3,3,21,6,8
No,33,Travel_Rarely,Research & Development,14,3,Medical,252,4,Female,3,Research Scientist,2,Married,2756,1,No,13,4,1,8,5,3,8,7,6
Yes,30,Travel_Frequently,Sales,26,4,Marketing,299,3,Female,2,Sales Executive,1,Single,6696,5,No,15,3,0,9,5,2,6,3,1
No,31,Travel_Frequently,Sales,20,3,Life Sciences,1135,3,Male,4,Sales Representative,4,Married,2791,0,No,12,1,1,3,4,3,2,2,2
No,55,Travel_Frequently,Research & Development,2,1,Life Sciences,1096,4,Male,3,Manufacturing Director,2,Married,10976,3,No,18,2,1,23,4,3,3,2,2
Yes,31,Travel_Frequently,Research & Development,29,2,Medical,355,3,Male,2,Laboratory Technician,2,Single,3479,0,No,11,2,0,6,2,4,5,4,4
No,55,Travel_Rarely,Research & Development,22,3,Technical Degree,1694,1,Male,2,Research Scientist,2,Divorced,3537,5,No,12,4,1,8,1,3,4,2,2
No,46,Travel_Rarely,Sales,3,1,Marketing,1124,1,Male,3,Manager,3,Married,17465,3,No,12,4,1,23,3,3,12,9,9
Yes,38,Travel_Rarely,Research & Development,29,1,Medical,282,2,Male,3,Healthcare Representative,1,Married,6673,7,Yes,19,2,0,17,2,3,1,0,0
No,53,Travel_Rarely,Sales,2,4,Life Sciences,23,1,Female,2,Manager,4,Married,15427,2,No,16,3,0,31,3,3,25,8,7
No,51,Travel_Frequently,Research & Development,6,2,Medical,1297,2,Female,2,Laboratory Technician,3,Single,2838,0,No,14,2,0,8,6,2,7,0,7
No,23,Travel_Rarely,Research & Development,10,1,Medical,784,1,Male,4,Research Scientist,3,Single,3505,,No,18,4,0,2,3,3,2,2,2
No,39,Non-Travel,Research & Development,25,2,Life Sciences,1397,3,Male,3,Healthcare Representative,3,Married,10920,,No,21,2,1,13,2,3,6,4,5
No,42,Travel_Rarely,Research & Development,2,3,Life Sciences,2031,1,Male,3,Manager,3,Married,18880,,No,11,1,0,24,2,2,22,6,14
No,52,Travel_Rarely,Research & Development,1,2,Life Sciences,976,4,Male,3,Manager,4,Married,17099,2,No,15,2,1,26,2,2,9,8,8
No,44,Travel_Rarely,Research & Development,2,3,Life Sciences,1703,3,Female,4,Healthcare Representative,4,Married,7879,1,Yes,19,2,1,9,2,3,8,7,7
No,40,Travel_Rarely,Sales,10,4,Marketing,954,1,Male,2,Sales Executive,2,Divorced,9705,2,No,12,2,1,11,2,2,1,0,0
Yes,28,Travel_Frequently,Research & Development,2,2,Medical,1504,3,Male,2,Laboratory Technician,1,Single,2561,7,No,11,3,0,8,2,2,0,0,0
No,31,Travel_Rarely,Research & Development,20,3,Life Sciences,1881,2,Male,3,Laboratory Technician,3,Divorced,4197,1,No,11,1,1,10,2,3,10,8,2
No,40,Travel_Rarely,Research & Development,2,3,Medical,521,2,Female,2,Laboratory Technician,3,Married,3448,6,No,22,2,1,20,3,3,1,0,0
No,36,Travel_Rarely,Research & Development,6,4,Life Sciences,1221,3,Male,1,Laboratory Technician,3,Divorced,2741,1,No,14,3,1,7,4,3,7,7,7
No,41,Non-Travel,Sales,10,2,Life Sciences,599,4,Male,3,Sales Executive,4,Single,6230,7,No,14,4,0,16,3,3,14,3,10
Yes,35,Travel_Rarely,Research & Development,23,2,Life Sciences,261,2,Male,2,Manufacturing Director,3,Married,5916,3,Yes,13,1,0,8,1,3,1,0,1
Yes,56,Travel_Rarely,Research & Development,24,2,Life Sciences,1907,1,Male,3,Laboratory Technician,4,Single,2587,1,No,16,4,0,5,3,3,4,2,0
Yes,38,Travel_Rarely,Research & Development,2,3,Medical,1573,3,Male,3,Manufacturing Director,2,Married,4855,4,No,11,1,2,7,2,3,5,2,4
Yes,18,Travel_Rarely,Research & Development,3,3,Life Sciences,405,3,Male,3,Laboratory Technician,3,Single,1420,1,No,13,3,0,0,2,3,0,0,0
No,22,Travel_Rarely,Research & Development,2,1,Technical Degree,169,3,Male,3,Laboratory Technician,4,Married,2523,0,No,14,3,1,3,2,3,2,1,1
No,54,Travel_Rarely,Research & Development,17,3,Technical Degree,1013,3,Female,3,Manufacturing Director,3,Married,10739,8,No,11,3,1,22,2,3,10,7,8
No,35,Travel_Rarely,Research & Development,6,4,Life Sciences,691,2,Male,1,Research Scientist,4,Single,6646,1,No,13,2,0,17,3,3,17,11,8
No,35,Travel_Rarely,Research & Development,5,4,Technical Degree,464,3,Male,3,Manufacturing Director,2,Single,8095,0,No,13,4,0,17,5,3,16,6,13
No,49,Travel_Frequently,Research & Development,,1,Life Sciences,2,3,Male,2,Research Scientist,2,Married,5130,1,No,23,4,1,10,3,3,10,7,7
No,36,Travel_Rarely,Human Resources,13,3,Human Resources,829,3,Male,3,Human Resources,2,Married,2143,4,No,13,2,1,8,2,3,5,2,4
Yes,46,Travel_Rarely,Sales,9,3,Marketing,1457,1,Male,3,Sales Executive,4,Divorced,10096,4,No,11,1,1,28,1,4,7,7,3
No,32,Travel_Frequently,Sales,9,2,Medical,195,4,Male,1,Sales Executive,4,Divorced,4668,0,No,17,4,3,9,2,4,8,7,7
No,32,Travel_Rarely,Research & Development,1,1,Life Sciences,134,4,Male,3,Research Scientist,1,Single,2956,1,No,13,4,0,1,2,3,1,0,0
No,29,Travel_Rarely,Research & Development,1,3,Life Sciences,1264,4,Female,2,Research Director,4,Divorced,16124,3,No,14,2,2,9,2,2,7,7,7
No,35,Non-Travel,Sales,8,2,Marketing,1243,3,Female,2,Sales Executive,4,Married,10377,4,Yes,11,2,1,16,6,2,13,2,12
No,30,Travel_Rarely,Sales,12,3,Technical Degree,533,2,Female,3,Sales Executive,3,Single,6577,0,No,11,2,0,6,6,3,5,4,4
No,47,Travel_Rarely,Sales,14,3,Medical,1503,3,Female,3,Sales Executive,3,Married,4591,3,Yes,17,3,1,11,4,2,5,4,2
No,38,Travel_Rarely,Sales,16,3,Life Sciences,1583,2,Female,3,Sales Executive,2,Single,4198,2,No,12,2,0,8,5,4,3,2,2
No,31,Travel_Frequently,Research & Development,1,1,Life Sciences,1011,3,Female,3,Manufacturing Director,1,Married,4148,1,No,12,3,1,4,1,3,4,3,3
No,26,Travel_Rarely,Research & Development,23,3,Life Sciences,560,1,Female,3,Research Scientist,4,Divorced,2886,1,No,22,2,2,3,3,1,3,2,2
No,27,Travel_Rarely,Research & Development,17,3,Technical Degree,233,3,Male,3,Research Scientist,2,Married,3058,0,Yes,16,4,1,6,3,2,5,2,1
No,40,Travel_Rarely,Research & Development,14,3,Medical,1128,3,Male,2,Research Director,3,Single,19626,,No,14,1,0,21,2,4,20,7,9
No,26,Travel_Rarely,Research & Development,2,1,Medical,1407,1,Male,2,Research Scientist,4,Single,3904,0,No,12,4,0,5,2,3,4,3,1
Yes,24,Travel_Rarely,Human Resources,22,1,Human Resources,1714,4,Male,1,Human Resources,3,Married,1555,1,No,11,3,1,1,2,3,1,0,0
Yes,22,Travel_Rarely,Research & Development,7,1,Life Sciences,1878,4,Male,3,Research Scientist,2,Single,2472,1,Yes,23,1,0,1,2,3,1,0,0
No,37,Travel_Rarely,Research & Development,21,3,Life Sciences,267,2,Male,4,Research Scientist,1,Married,3564,1,Yes,12,1,1,8,3,2,8,7,7
No,27,Travel_Rarely,Sales,8,4,Marketing,458,2,Female,3,Sales Executive,2,Married,6214,1,No,18,1,1,8,3,3,8,7,7
No,29,Travel_Rarely,Research & Development,7,1,Medical,912,1,Female,2,Laboratory Technician,4,Divorced,2532,6,No,14,3,3,8,5,3,4,3,3
No,43,Travel_Rarely,Sales,25,3,Medical,1076,3,Male,2,Sales Executive,4,Divorced,10798,5,No,13,3,1,18,5,3,1,0,0
Yes,55,Travel_Rarely,Sales,13,4,Marketing,1372,1,Male,4,Sales Executive,3,Single,13695,6,Yes,17,3,0,24,2,2,19,7,8
Yes,33,Travel_Frequently,Research & Development,29,4,Medical,1101,1,Female,2,Research Scientist,3,Single,4508,1,No,22,2,0,14,4,3,13,7,8
No,53,Travel_Rarely,Research & Development,7,3,Life Sciences,730,3,Male,4,Research Director,3,Married,14814,3,No,19,3,0,32,3,3,5,1,3
No,56,Travel_Rarely,Research & Development,9,3,Medical,762,3,Male,3,Healthcare Representative,4,Married,11103,7,No,11,3,0,30,1,2,10,7,1
No,27,Travel_Frequently,Sales,2,1,Life Sciences,1371,4,Male,1,Sales Executive,4,Single,5071,,No,20,2,0,8,3,3,6,2,0
No,58,Travel_Rarely,Sales,21,3,Life Sciences,1938,4,Female,3,Manager,4,Married,17875,4,Yes,13,3,1,29,2,2,1,0,0
Yes,51,Travel_Frequently,Research & Development,8,4,Life Sciences,179,1,Male,1,Manufacturing Director,4,Single,10650,2,No,15,4,0,18,2,3,4,2,3
No,39,Travel_Rarely,Human Resources,3,3,Human Resources,760,3,Female,4,Human Resources,2,Married,6389,9,No,15,3,1,12,3,1,8,3,6
Yes,36,Travel_Rarely,Research & Development,9,3,Medical,90,4,Male,2,Research Scientist,3,Married,3388,0,Yes,17,1,1,2,0,2,1,0,0
No,32,Travel_Rarely,Sales,,3,Medical,1304,3,Male,4,Sales Executive,4,Married,6209,1,No,15,3,2,10,4,4,10,7,8
No,41,Travel_Rarely,Research & Development,28,4,Life Sciences,2034,1,Female,2,Manufacturing Director,2,Married,13570,0,No,23,3,1,21,3,3,20,7,10
No,50,Travel_Frequently,Sales,12,3,Marketing,174,3,Female,3,Sales Executive,4,Single,9208,4,No,11,4,0,16,3,3,2,2,1
No,31,Travel_Rarely,Research & Development,7,4,Life Sciences,76,4,Male,3,Laboratory Technician,4,Divorced,5915,3,No,22,4,1,10,3,2,7,7,7
No,40,Travel_Rarely,Research & Development,10,4,Life Sciences,483,4,Female,4,Laboratory Technician,3,Married,2213,3,Yes,13,3,1,10,3,3,7,7,7
Yes,42,Travel_Frequently,Research & Development,19,3,Medical,752,3,Male,4,Research Scientist,3,Divorced,2759,6,Yes,12,4,0,7,2,3,2,2,2
No,36,Travel_Rarely,Sales,17,2,Marketing,1908,3,Male,2,Sales Executive,2,Married,5507,2,No,16,3,2,12,1,1,4,2,3
No,38,Travel_Rarely,Research & Development,1,3,Technical Degree,950,4,Female,3,Research Director,1,Married,13582,,No,13,2,1,15,3,3,15,12,11
No,29,Travel_Rarely,Sales,10,3,Life Sciences,749,3,Male,3,Sales Representative,3,Single,2642,1,No,11,3,0,1,6,3,1,0,0
No,41,Travel_Rarely,Sales,2,4,Life Sciences,410,4,Male,3,Manager,2,Single,16015,1,No,19,2,0,22,2,3,22,10,4
No,42,Non-Travel,Human Resources,2,5,Medical,1231,4,Male,4,Human Resources,1,Married,6272,7,No,16,1,1,10,3,4,4,3,3
No,50,Travel_Rarely,Research & Development,7,2,Medical,80,2,Female,2,Research Director,3,Divorced,18740,5,Yes,12,4,1,29,2,2,27,3,8
No,37,Travel_Rarely,Research & Development,1,3,Technical Degree,623,2,Female,3,Manufacturing Director,4,Single,7491,4,No,17,4,0,12,3,4,6,5,2
No,35,Travel_Rarely,Research & Development,18,5,Life Sciences,1621,2,Male,4,Research Scientist,1,Married,5208,1,No,11,4,0,16,2,3,16,15,10
No,58,Non-Travel,Sales,2,3,Medical,1824,2,Male,3,Manager,2,Divorced,16291,4,No,22,4,1,37,0,2,16,9,14
No,29,Travel_Rarely,Research & Development,27,3,Medical,793,2,Female,3,Healthcare Representative,3,Married,4335,4,No,12,1,1,11,3,2,8,7,1
No,27,Travel_Rarely,Sales,23,1,Medical,1864,2,Female,2,Sales Representative,3,Married,3540,1,No,21,4,1,9,5,3,9,8,8
No,43,Travel_Rarely,Research & Development,11,3,Life Sciences,1971,1,Male,3,Healthcare Representative,3,Married,7510,1,No,17,2,1,10,1,3,10,9,9
No,25,Travel_Rarely,Sales,8,2,Other,2018,1,Female,3,Sales Executive,3,Divorced,4907,0,Yes,22,2,1,6,3,2,5,3,4
No,37,Travel_Frequently,Sales,4,4,Marketing,311,1,Male,3,Sales Representative,4,Divorced,2793,4,No,17,3,1,13,2,3,9,8,8
No,47,Travel_Frequently,Sales,3,3,Medical,746,4,Female,3,Sales Executive,3,Divorced,13770,9,Yes,12,4,2,28,2,2,22,2,13
No,35,Travel_Rarely,Sales,17,4,Life Sciences,1218,3,Male,3,Sales Executive,1,Married,8966,3,Yes,15,4,3,15,2,3,7,7,7
Yes,35,Travel_Rarely,Sales,15,2,Medical,1645,1,Male,1,Sales Executive,4,Divorced,5440,6,Yes,14,4,2,7,2,2,2,2,2
No,34,Travel_Rarely,Research & Development,6,4,Other,138,1,Female,3,Research Scientist,3,Single,4809,1,No,14,3,0,16,3,3,16,13,10
Yes,40,Non-Travel,Sales,24,3,Life Sciences,986,2,Female,4,Sales Executive,2,Single,13194,4,Yes,16,4,0,22,2,2,1,0,0
No,30,Travel_Rarely,Research & Development,18,3,Life Sciences,194,1,Female,3,Research Scientist,3,Single,2632,1,No,14,3,0,5,4,2,5,4,4
No,40,Non-Travel,Sales,28,3,Other,615,3,Male,1,Sales Executive,1,Divorced,10932,3,No,15,3,1,20,2,3,1,0,1
Yes,30,Travel_Frequently,Sales,12,4,Life Sciences,648,2,Male,2,Sales Representative,1,Married,2033,1,No,18,3,1,1,2,4,1,0,0
Yes,52,Travel_Rarely,Sales,2,1,Marketing,1038,1,Female,1,Manager,4,Married,19845,1,No,15,4,1,33,3,3,32,14,9
No,54,Travel_Rarely,Research & Development,1,3,Medical,1422,4,Female,3,Research Director,4,Single,17328,6,No,19,4,0,29,3,2,20,7,7
No,29,Travel_Rarely,Research & Development,7,3,Life Sciences,1883,4,Male,3,Laboratory Technician,1,Single,2062,3,No,14,2,0,11,2,3,3,2,2
No,38,Travel_Frequently,Research & Development,8,3,Medical,1937,4,Female,2,Research Scientist,2,Divorced,2133,1,Yes,16,3,1,20,3,3,20,11,7
No,26,Travel_Frequently,Research & Development,1,3,Life Sciences,384,3,Female,3,Manufacturing Director,2,Divorced,6397,1,No,20,1,1,6,6,1,6,5,4
No,34,Travel_Rarely,Research & Development,,4,Technical Degree,1383,3,Female,3,Healthcare Representative,4,Single,6687,1,No,11,4,0,14,2,4,14,11,11
Yes,26,Travel_Frequently,Research & Development,2,3,Life Sciences,1053,1,Male,3,Research Scientist,1,Married,2042,6,Yes,14,2,1,6,2,3,3,2,2
