Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount($),Length of current employment(Month),Sex & Marital Status,Duration in Current address,Most valuable available asset,Age (years),Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,3,12,2,6,1393,5,3,4,2,47,2,3,3,2,2,1
1,3,15,2,2,2708,2,3,3,2,27,2,2,2,1,1,1
0,2,6,1,0,931,2,2,1,2,32,2,1,2,1,1,1
1,3,18,2,2,3049,2,2,1,2,45,2,1,2,1,1,1
0,3,18,2,2,1533,2,4,1,2,43,2,1,2,2,1,1
1,3,42,0,9,6289,2,1,1,2,33,2,2,3,1,1,1
0,3,36,4,0,7855,3,2,2,1,25,2,2,3,1,2,1
1,3,15,2,2,2221,3,2,4,3,20,1,1,3,1,1,1
1,3,12,4,3,1240,5,2,2,1,38,2,2,3,1,2,1
0,2,24,4,10,11938,3,3,3,3,39,2,2,4,2,2,1
1,3,6,2,3,1595,4,3,2,2,51,2,1,3,2,1,1
0,1,24,1,10,1358,5,3,3,3,40,2,1,4,1,2,1
0,2,12,2,0,1295,2,2,1,3,25,1,1,3,1,1,1
1,3,36,4,9,6304,5,3,4,1,36,2,2,3,1,1,1
0,2,48,3,6,6224,5,3,4,4,50,3,1,3,1,1,1
0,2,48,1,9,6416,5,2,3,4,59,1,1,3,1,1,1
1,1,24,2,9,6568,3,4,2,3,21,2,1,2,1,1,1
1,1,24,2,1,2924,3,3,4,4,63,2,1,3,2,2,1
1,3,15,4,3,1829,5,3,4,3,46,2,2,3,1,2,1
1,3,15,2,0,5324,5,2,4,4,35,3,1,3,1,1,1
1,3,24,4,1,6842,3,3,4,2,46,2,2,4,2,2,1
0,1,24,2,0,1285,4,2,4,4,32,1,1,3,1,1,1
0,2,15,1,0,6850,1,3,2,2,34,2,1,4,2,2,1
1,1,18,2,3,3509,4,2,1,1,25,2,1,3,1,1,1
1,3,36,4,1,5711,5,3,2,3,38,2,2,4,1,2,1
0,3,36,2,6,1819,3,3,4,4,37,3,1,3,1,2,1
1,3,14,3,0,802,3,3,2,3,27,2,2,2,1,1,1
0,3,18,3,2,1808,4,2,1,1,22,2,1,3,1,1,1
0,1,18,2,1,7511,5,3,4,2,51,3,1,3,2,2,1
0,2,18,2,2,1924,2,2,3,1,27,1,1,3,1,1,1
1,3,12,4,3,717,5,3,4,1,52,2,3,3,1,1,1
1,3,18,4,3,2238,3,2,1,3,25,2,2,3,1,1,1
1,3,48,2,3,10222,4,3,3,3,37,2,1,3,1,2,1
1,2,48,3,9,6681,3,3,4,4,38,3,1,3,2,2,1
1,3,24,4,3,2223,5,3,4,2,52,2,2,3,1,1,1
0,2,24,4,3,1216,2,3,4,4,38,2,2,3,2,1,1
1,2,18,3,0,2899,5,3,4,3,43,2,1,3,2,1,1
0,1,12,4,0,691,5,3,3,2,35,2,2,3,1,1,1
1,2,12,4,1,1804,2,3,4,2,44,2,1,3,1,1,1
1,2,20,3,1,7057,4,3,4,2,36,1,2,4,2,2,1
0,3,15,4,3,1271,3,3,4,4,39,3,2,3,1,2,1
1,2,36,2,6,2273,4,3,1,3,32,2,2,3,2,1,1
1,2,12,2,3,2930,4,2,1,1,27,2,1,3,1,1,1
1,1,6,4,0,1361,2,3,4,1,40,2,1,2,2,1,2
0,2,18,2,0,1042,3,2,2,2,33,2,1,3,1,1,1
1,3,15,4,1,3368,5,3,4,4,23,1,2,3,1,2,1
1,2,18,4,2,6361,5,3,1,4,41,2,1,3,1,2,1
1,3,24,3,1,4679,4,3,3,3,35,2,2,2,1,2,1
0,2,30,4,0,5234,1,4,2,3,28,2,2,4,1,1,1
1,3,12,4,6,701,3,3,2,3,32,2,2,3,1,1,1
1,1,12,4,0,2122,3,3,2,1,39,1,2,2,2,1,2
1,3,11,4,0,1393,2,2,4,3,35,2,2,4,1,1,1
1,3,15,4,2,2788,4,2,3,3,24,2,2,3,1,1,1
1,3,12,4,0,1255,5,3,4,1,61,2,2,2,1,1,1
0,2,6,1,6,433,2,2,2,2,24,1,1,3,2,1,1
1,2,36,2,3,4795,2,2,1,4,30,2,1,4,1,2,1
1,3,9,4,2,2406,1,3,3,3,31,2,1,4,1,1,1
1,3,12,2,2,1736,4,2,4,1,31,2,1,2,1,1,1
0,2,60,2,0,14027,4,3,2,4,27,2,1,4,1,2,1
1,1,6,4,0,4716,2,3,3,1,44,2,2,2,2,1,1
1,3,4,2,0,1494,2,3,2,1,29,2,1,2,2,1,2
1,1,12,3,0,1344,3,3,2,1,43,2,2,2,2,1,1
1,3,12,4,2,1258,2,2,4,2,22,1,2,2,1,1,1
1,3,6,4,3,1237,3,2,1,2,27,2,2,3,1,1,1
0,1,24,2,0,1442,4,2,4,3,23,1,2,3,1,1,1
0,1,9,2,0,1422,2,3,2,4,27,3,1,4,1,2,1
0,1,60,3,9,6836,5,3,4,4,63,2,2,3,1,2,1
1,3,24,3,2,4151,3,3,3,2,35,2,2,3,1,1,1
1,3,36,4,1,5842,5,3,2,2,35,2,2,3,2,2,1
1,1,18,1,3,1940,2,3,4,4,36,3,1,4,1,2,1
0,1,12,4,0,3499,3,2,2,1,29,2,2,3,1,1,1
1,3,12,4,0,1163,3,3,4,1,44,2,1,3,1,2,1
1,2,7,2,3,2576,3,3,2,1,35,2,1,3,1,1,2
1,2,6,2,3,753,3,2,3,1,64,2,1,3,1,1,1
1,3,6,4,3,1898,3,3,2,1,34,2,2,2,2,1,1
1,2,18,4,2,3612,5,2,4,2,37,2,1,3,1,2,2
1,2,20,3,10,2629,3,3,3,3,29,2,2,3,1,2,1
1,3,24,4,0,2463,4,4,3,2,27,2,2,3,1,2,1
0,1,12,4,2,2246,5,3,3,2,60,2,2,3,1,1,1
0,1,28,2,0,4006,3,3,2,3,45,2,1,2,1,1,1
1,3,24,4,5,5507,5,3,4,4,44,3,2,3,1,1,1
1,2,24,3,9,6967,4,3,4,3,36,1,1,4,1,2,1
1,2,10,2,2,1521,3,1,2,3,31,2,1,2,1,1,1
0,2,18,4,0,884,5,3,4,3,36,2,1,3,2,2,1
0,1,60,2,9,7297,5,3,4,4,36,1,1,3,1,1,1
1,3,60,3,3,15653,4,3,4,3,21,2,2,3,1,2,1
1,3,24,2,0,1525,4,2,3,3,34,2,1,3,2,2,1
0,2,12,2,2,1922,3,3,2,2,37,2,1,2,1,1,1
0,1,9,2,3,1366,2,2,4,2,22,1,1,3,1,1,1
1,3,30,2,3,2333,5,3,2,3,30,2,1,4,1,1,1
0,2,15,0,0,1778,2,2,1,1,26,1,2,1,1,1,1
1,2,21,2,2,3976,4,3,3,3,35,2,1,3,1,2,1
0,1,18,1,0,1442,4,3,4,4,32,3,2,2,2,1,1
1,2,24,2,2,4351,3,2,4,2,48,2,1,2,1,2,1
1,1,30,2,2,3622,5,2,4,2,57,1,2,3,1,2,1
1,3,12,2,2,1574,3,3,2,1,50,2,1,3,1,1,1
0,2,9,1,0,1437,4,3,3,4,29,2,1,3,1,1,1
0,1,18,2,3,1345,3,4,3,1,26,2,1,3,1,1,1
0,1,12,2,3,709,5,3,4,1,57,2,1,2,1,1,1
1,3,10,4,3,1347,4,3,2,2,27,2,2,3,1,2,1
1,2,8,2,3,1414,3,3,2,1,33,2,1,3,1,1,2
1,1,6,4,0,3676,3,3,3,1,37,1,3,3,2,1,1
1,2,48,3,10,7582,1,3,4,4,31,2,1,4,1,2,1
0,2,30,4,0,4249,1,4,2,3,28,2,2,4,1,1,1
1,3,18,2,3,1505,3,3,2,4,32,3,1,4,1,2,1
1,1,24,2,1,6579,1,3,2,4,29,3,1,4,1,2,1
1,3,36,2,9,7409,5,3,2,2,37,2,2,3,1,1,1
0,1,6,2,6,448,2,2,4,2,23,2,1,3,1,1,1
1,2,24,2,0,3512,4,3,3,3,38,2,2,3,1,2,1
0,1,48,2,3,6758,3,2,2,3,31,2,1,3,1,2,1
1,1,21,2,0,3763,4,3,2,1,24,2,1,2,1,1,2
1,2,48,2,10,5381,1,3,4,4,40,3,1,1,1,2,1
1,1,12,2,2,3590,3,3,2,2,29,2,1,2,2,1,1
1,3,24,2,2,3972,4,2,4,2,25,1,1,3,1,2,1
1,3,24,4,6,1597,5,3,4,4,54,3,2,3,2,1,1
1,3,48,4,9,7629,5,1,2,3,46,2,2,4,2,1,1
1,3,18,4,2,3780,2,1,2,3,35,2,2,4,1,2,1
1,2,18,2,3,1301,5,4,2,1,32,2,1,2,1,1,1
1,3,12,1,8,3447,3,2,3,1,35,2,1,2,2,1,1
1,3,30,4,3,3017,5,3,4,2,47,2,1,3,1,1,1
0,1,48,1,9,7685,4,2,4,3,37,1,1,3,1,1,1
0,3,48,4,0,10127,3,3,2,4,44,3,1,3,1,1,1
1,3,28,1,1,7824,2,3,4,1,40,1,2,3,2,2,1
0,2,30,2,2,3441,3,2,4,3,21,1,1,3,1,1,1
0,3,12,2,2,1123,3,2,4,3,29,1,1,2,1,1,1
1,3,24,2,0,1469,5,4,4,1,41,1,1,2,1,1,1
1,3,36,4,1,10477,5,3,4,4,42,3,2,3,1,1,1
1,3,10,2,0,1546,3,3,2,1,31,2,1,2,2,1,2
0,3,36,3,9,7980,2,3,4,3,27,1,2,3,1,2,1
1,2,12,2,3,1567,3,2,1,3,22,2,1,3,1,2,1
1,2,9,4,3,1154,5,3,4,1,37,2,3,2,1,1,1
1,1,30,0,9,8072,2,3,3,3,25,2,3,3,1,1,1
1,2,36,1,4,3990,2,2,2,4,29,2,1,1,1,1,1
1,3,42,4,1,4796,5,3,4,4,56,3,1,3,1,1,1
1,3,12,2,3,1881,3,2,2,3,44,1,1,2,1,2,1
1,2,24,2,3,2896,2,3,1,3,29,2,1,3,1,1,1
0,1,24,3,0,4870,3,3,4,4,53,3,2,3,2,1,1
1,3,12,2,3,1493,2,2,3,3,34,2,1,3,2,1,1
0,2,27,0,9,8318,5,2,4,4,42,3,2,4,1,2,1
1,3,9,2,4,1236,2,2,4,1,23,1,1,3,1,2,1
1,3,42,2,3,7166,4,4,4,2,29,1,1,3,1,2,1
0,3,24,3,9,8648,2,3,2,3,27,2,2,3,1,2,1
1,3,6,2,0,3518,3,3,3,2,26,1,1,3,1,1,1
1,2,9,2,3,458,3,3,3,1,24,2,1,3,1,1,1
1,3,30,4,3,3077,5,3,2,3,40,2,2,3,2,2,1
0,3,36,3,9,9572,2,1,1,3,28,2,2,3,1,1,1
1,2,7,2,3,2415,3,3,2,1,34,2,1,3,1,1,1
1,3,24,2,0,1474,2,4,3,1,33,2,1,3,1,2,1
0,3,9,2,3,1478,4,3,2,3,22,2,1,3,1,1,1
0,1,15,2,0,3959,3,2,2,2,29,2,1,3,1,2,1
1,2,18,2,3,866,3,4,2,1,25,2,1,2,1,1,1
1,2,15,2,5,1514,3,3,2,1,22,2,1,3,1,1,1
0,2,24,2,0,1246,2,3,2,1,23,2,1,2,1,1,1
1,3,6,2,3,2108,4,4,2,1,29,1,1,3,1,1,1
1,3,39,2,1,2569,3,3,4,3,24,2,1,3,1,1,1
1,1,6,4,3,338,5,3,4,3,52,2,2,3,1,1,1
1,2,24,3,3,6403,2,3,2,3,33,2,1,3,1,1,1
0,3,36,4,2,7127,2,2,4,2,23,1,2,3,1,2,1
1,2,12,2,8,754,5,3,4,2,38,2,2,3,1,1,1
0,1,24,2,0,3123,2,2,1,2,27,2,1,3,1,1,1
0,2,45,2,3,3031,3,3,4,2,21,1,1,3,1,1,1
1,2,12,2,1,2028,3,3,2,3,30,2,1,3,1,1,1
0,1,20,4,0,2235,3,4,2,2,33,1,2,3,1,1,2
1,3,24,2,3,3105,2,3,2,3,25,2,2,3,1,1,1
1,3,11,4,0,7228,3,3,4,2,39,2,2,2,1,1,1
1,2,13,2,3,2101,2,2,4,2,23,2,1,2,1,1,1
0,1,45,2,3,1845,3,3,4,4,23,3,1,3,1,2,1
1,2,36,3,9,9857,4,3,3,2,31,2,2,2,2,2,1
1,3,6,4,3,1740,5,4,2,1,30,1,2,3,1,1,1
1,2,24,2,2,3069,5,3,4,4,30,3,1,3,1,1,1
1,3,36,2,3,2299,5,3,4,3,39,2,1,3,1,1,1
1,1,36,2,0,3249,4,3,4,4,39,3,1,4,2,2,1
1,2,20,2,1,6468,1,1,4,1,60,2,1,4,1,2,1
1,3,12,2,1,2445,2,4,4,3,26,1,1,3,1,2,1
1,3,18,2,1,3378,3,3,1,2,31,2,1,3,1,2,1
1,2,9,2,6,1199,4,2,4,2,67,2,2,4,1,2,1
0,2,15,3,5,1512,3,4,3,2,61,2,2,3,1,1,1
0,1,45,0,9,11816,5,3,4,3,29,1,2,3,1,1,1
0,1,24,2,0,915,5,2,2,3,29,2,1,3,1,1,1
1,1,12,2,2,2578,1,2,4,4,55,3,1,4,1,1,1
0,3,6,2,2,4611,2,2,4,2,32,2,1,3,1,1,1
0,2,12,2,3,6468,1,3,1,4,52,2,1,4,1,2,1
1,3,9,4,0,2134,3,3,4,3,48,2,3,3,1,2,1
1,3,6,2,2,1766,3,4,2,2,21,1,1,3,1,1,1
1,3,24,4,0,1287,5,2,4,1,37,2,2,3,1,2,1
1,3,9,2,0,2507,5,3,4,4,51,3,1,2,1,1,1
1,2,10,1,3,1048,3,3,4,1,23,2,1,2,1,1,1
1,3,9,2,2,1313,5,3,4,3,20,2,1,3,1,1,1
0,3,18,2,2,2864,3,3,1,1,34,2,1,2,2,1,1
1,2,48,0,9,12204,3,3,2,3,48,2,1,4,1,2,1
1,2,18,2,3,3213,2,4,3,1,25,1,1,3,1,1,1
0,1,12,2,0,1228,3,2,2,1,24,2,1,2,1,1,1
1,3,60,2,0,10366,5,3,4,2,42,2,1,4,1,2,1
1,3,18,4,2,1817,3,2,2,4,28,2,2,3,1,1,1
0,2,48,0,9,14421,3,3,2,3,25,2,1,3,1,2,1
0,3,36,3,3,4463,3,3,2,3,26,2,2,4,1,2,1
0,2,48,2,9,15672,3,3,2,3,23,2,1,3,1,2,1
1,3,24,4,1,5804,3,3,2,1,27,2,2,3,1,1,1
1,3,36,2,3,3919,3,3,2,1,23,2,1,3,1,2,1
0,1,6,2,0,14896,5,3,4,4,68,2,1,4,1,2,1
1,3,7,4,3,730,5,3,2,2,46,1,2,2,1,2,1
0,1,48,0,2,7119,3,3,4,4,53,3,2,3,2,1,1
1,3,12,2,3,3077,3,3,4,3,52,2,1,3,1,2,1
0,3,21,4,0,12680,5,3,4,4,30,3,1,4,1,2,1
1,1,12,2,3,1680,5,4,1,1,35,2,1,3,1,1,1
1,1,42,2,2,7882,4,3,4,2,45,3,1,3,2,1,1
0,2,54,0,9,15945,2,3,4,4,58,1,1,3,1,2,1
1,2,15,4,3,1537,5,3,4,1,50,2,2,3,1,2,1
0,3,12,2,0,1386,3,2,2,2,26,2,1,3,1,1,1
